employee_id,company,department,age,age_when_joined,years_in_the_company,salary,annual_bonus,prior_years_experience,Gender,Resting_Heart_Rate
16,Glasses,BigData,41,38,3,68074.97135,17664.1041,3,Male,81.2
56,Glasses,AI,44,42,2,49092.14746,21551.14108,2,Male,75.8
59,Cheerper,Support,41,40,1,40000,23698.87885,2,Female,72.4
40,Glasses,Design,39,32,7,108192.4655,21570.92966,1,Male,65.6
47,Glasses,Search Engine,30,22,9,71291.19113,21565.50572,2,Male,73.9
13,Cheerper,BigData,30,22,7,64959.78673,24792.91,2,Male,73.4
34,Glasses,Design,30,22,7,82031.52506,24792.91,1,Male,71.3
53,Glasses,Search Engine,35,30,5,40863.1099,9660.533707,4,Male,75.1
46,Cheerper,BigData,49,36,9,54725.12654,21663.42798,1,Male,79.5
56,Pear,Design,49,48,1,101687.7564,13825.94401,4,Male,67.4
30,Cheerper,Support,36,24,9,75125.0531,16767.95195,3,Male,69
31,Glasses,Search Engine,45,40,5,84374.00043,17923.82929,2,Male,71.7
40,Glasses,Search Engine,45,40,5,57256.1458,12033.81761,2,Male,69.4
1,Pear,Design,38,35,4,123662.8408,24792.91,1,Male,63.6
25,Cheerper,Search Engine,36,29,7,106540.1545,12360.71793,5,Female,67.6
36,Glasses,Search Engine,31,24,7,48941.6334,23767.17534,1,Female,66.2
71,Cheerper,Support,45,42,3,40000,15230.54691,3,Male,77.9
34,Glasses,Support,34,31,2,40000,24792.91,1,Female,79.5
40,Glasses,Search Engine,38,34,5,68196.88887,18198.86656,3,Male,66.6
26,Pear,Sales,34,33,1,115645.6338,23661.83841,2,Male,73.4
1,Glasses,Design,30,22,7,138211.8841,17563.34903,3,Male,76.7
3,Cheerper,AI,44,40,4,153000,24792.91,1,Female,64.6
37,Cheerper,Support,41,38,3,85850.61192,20306.75664,3,Male,72.4
1,Cheerper,Support,35,26,9,66542.9596,24792.91,1,Male,85.8
33,Glasses,AI,40,39,1,89401.36522,14636.83277,3,Female,74.4
70,Pear,Design,41,38,2,45963.96145,17807.97705,2,Male,70.1
26,Glasses,Search Engine,42,38,4,84410.50319,22072.74522,2,Female,69.2
21,Cheerper,BigData,48,45,3,76472.43419,13060.17708,2,Male,61.9
66,Glasses,Design,49,48,2,107986.1742,11295.34821,3,Female,74.1
1,Pear,Sales,35,32,3,119108.6654,19921.34035,2,Male,81.1
47,Glasses,Search Engine,33,31,2,88736.54865,15927.7152,5,Male,66.9
1,Glasses,Search Engine,34,28,5,75299.8043,24792.91,1,Male,62.2
1,Pear,Sales,37,31,6,110386.5503,23377.17434,1,Female,69
8,Glasses,AI,30,24,5,105486.2466,20334.50755,4,Female,76.1
27,Pear,AI,34,30,4,91059.78921,13354.91817,3,Male,69.5
16,Pear,Design,39,39,1,108899.4727,23511.43509,2,Male,66.8
53,Cheerper,Support,39,37,2,57027.8944,23482.43983,1,Female,71.3
41,Cheerper,BigData,41,36,5,106403.8175,9265.654714,5,Female,73.4
1,Glasses,BigData,42,34,7,98891.57784,9826.200491,4,Female,66
3,Glasses,Search Engine,30,25,5,91090.64693,16359.00336,2,Male,70.6
1,Glasses,AI,30,26,3,125833.2581,20269.54581,4,Female,68.6
23,Cheerper,Search Engine,34,24,9,79569.97917,13923.19438,3,Female,69.9
